targets,preds
[50700.0859375],[52782.527]
[50504.796875],[51475.688]
[47672.12109375],[50894.523]
[47243.3046875],[50822.18]
[49362.5078125],[50406.13]
[50098.3359375],[49908.62]
[46737.48046875],[49644.863]
[46612.6328125],[49161.547]
[48896.72265625],[49025.477]
[47665.42578125],[49120.633]
[46202.14453125],[48771.363]
[46848.77734375],[48134.45]
[46707.015625],[48127.94]
[46880.27734375],[48081.625]
[48936.61328125],[47627.402]
[48628.51171875],[47756.18]
[50784.5390625],[48283.66]
[50822.1953125],[49013.688]
[50429.859375],[49911.94]
[50809.515625],[50732.492]
[50640.41796875],[51149.152]
[47588.85546875],[51566.996]
[46444.7109375],[51126.016]
[47178.125],[50307.02]
[46306.4453125],[49485.543]
[47686.8125],[48500.684]
[47345.21875],[47780.805]
[46458.1171875],[47746.918]
[45897.57421875],[47828.84]
[43569.00390625],[47629.566]
[43160.9296875],[47194.84]
[41557.90234375],[46245.277]
[41733.94140625],[45079.48]
[41911.6015625],[44009.832]
[41821.26171875],[43110.137]
[42735.85546875],[42715.035]
[43949.1015625],[42565.207]
[42591.5703125],[42971.555]
[43099.69921875],[43274.43]
[43177.3984375],[43547.723]
[43113.87890625],[43818.27]
[42250.55078125],[43887.41]
[42375.6328125],[43616.734]
[41744.328125],[43562.754]
[40680.41796875],[43298.97]
[36457.31640625],[42837.137]
[35030.25],[41751.1]
[36276.8046875],[40308.87]
[36654.328125],[38787.75]
[36954.00390625],[37543.35]
[36852.12109375],[36739.445]
[37138.234375],[36870.887]
[37784.33203125],[37306.902]
[38138.1796875],[37574.74]
[37917.6015625],[37862.984]
[38483.125],[38109.902]
[38743.2734375],[38437.04]
[36952.984375],[38753.293]
[37154.6015625],[38723.656]
[41500.875],[38527.01]
[41441.1640625],[38895.867]
[42412.43359375],[39476.73]
[43840.28515625],[40306.88]
[44118.4453125],[41751.305]
[44338.796875],[43212.582]
[43565.11328125],[43860.344]
[42407.9375],[44410.777]
[42244.46875],[44509.72]
[42197.515625],[44169.105]
[42586.91796875],[43714.816]
[44575.203125],[43282.55]
[43961.859375],[43337.645]
[40538.01171875],[43719.785]
[40030.9765625],[43693.96]
[40122.15625],[43315.37]
[38431.37890625],[42671.383]
[37075.28125],[41411.555]
[38286.02734375],[40063.52]
[37296.5703125],[39451.53]
[38332.609375],[38871.082]
[39214.21875],[38421.625]
[39105.1484375],[38518.65]
[37709.78515625],[38957.336]
[43193.234375],[38993.234]
[44354.63671875],[39829.535]
[43924.1171875],[40955.14]
[42451.7890625],[42100.77]
[39137.60546875],[43083.992]
[39400.5859375],[43649.043]
[38419.984375],[42782.035]
[38062.0390625],[41481.543]
[38737.26953125],[40210.703]
[41982.92578125],[39364.6]
[39437.4609375],[39677.207]
[38794.97265625],[39889.023]
[38904.01171875],[40131.023]
[37849.6640625],[40303.637]
[39666.75390625],[40111.63]
[39338.78515625],[39476.54]
[41143.9296875],[39453.35]
[40951.37890625],[39834.57]
[41801.15625],[40319.246]
[42190.65234375],[41126.24]
[41247.82421875],[41663.27]
[41077.99609375],[42154.63]
[42358.80859375],[42186.574]
[42892.95703125],[42362.418]
[43960.93359375],[42514.72]
[44348.73046875],[42836.168]
[44500.828125],[43503.06]
[46820.4921875],[44249.97]
[47128.00390625],[45052.324]
[47465.73046875],[45930.457]
[47062.6640625],[46711.15]
[45538.67578125],[47371.957]
[46281.64453125],[47715.355]
[45868.94921875],[47540.12]
[46453.56640625],[47253.8]
[46622.67578125],[46983.22]
[45555.9921875],[46887.332]
[43206.73828125],[46973.93]
[43503.84765625],[46526.816]
[42287.6640625],[45985.16]
[42782.13671875],[45109.547]
[42207.671875],[44221.6]
[39521.90234375],[43543.703]
[40127.18359375],[42962.24]
[41166.73046875],[42207.07]
[39935.515625],[41800.508]
[40553.46484375],[41248.02]
[40424.484375],[40901.695]
[39716.953125],[41090.76]
[40826.21484375],[41046.723]
[41502.75],[40901.96]
[41374.37890625],[41154.582]
[40527.36328125],[41350.195]
[39740.3203125],[41482.258]
[39486.73046875],[41561.13]
[39469.29296875],[41270.27]
[40458.30859375],[40802.01]
[38117.4609375],[40506.848]
[39241.12109375],[40174.418]
[39773.828125],[40012.082]
[38609.82421875],[39985.56]
[37714.875],[39869.2]
[38469.09375],[39411.2]
[38529.328125],[39413.016]
[37750.453125],[39206.566]
[39698.37109375],[38846.863]
[36575.140625],[38949.598]
[36040.921875],[38923.594]
[35501.953125],[38493.203]
[34059.265625],[37854.64]
[30296.953125],[37096.195]
[31022.90625],[35397.28]
[28936.35546875],[34129.914]
[29047.75195312],[32662.814]
[29283.10351562],[31232.21]
[30101.265625],[30169.941]
[31305.11328125],[30012.982]
[29862.91796875],[29985.686]
[30425.85742188],[30322.564]
[28720.27148438],[30625.623]
[30314.33398438],[30632.105]
[29200.74023438],[30531.74]
[29432.2265625],[30141.963]
[30323.72265625],[30039.217]
[29098.91015625],[29956.379]
[29655.5859375],[30109.94]
[29562.36132812],[29961.742]
[29267.22460938],[30031.162]
[28627.57421875],[30002.584]
[28814.90039062],[29711.03]
[29445.95703125],[29627.125]
[31726.390625],[29507.863]
[31792.31054688],[29767.654]
[29799.08007812],[30311.68]
[30467.48828125],[30794.605]
[29704.390625],[31149.785]
[29832.9140625],[31205.66]
[29906.66210938],[30768.248]
[31370.671875],[30363.762]
[31155.47851562],[30559.643]
[30214.35546875],[30722.94]
[30111.99804688],[30950.625]
[29083.8046875],[31052.13]
[28360.81054688],[30929.355]
[26762.6484375],[30334.592]
[22487.38867188],[29512.254]
[22206.79296875],[28198.152]
[22572.83984375],[26518.523]
[20381.65039062],[24967.283]
[20471.48242188],[23364.223]
[19017.64257812],[22055.762]
[20553.27148438],[21400.47]
[20599.53710938],[20882.2]
[20710.59765625],[20424.818]
[19987.02929688],[20491.887]
[21085.87695312],[20492.79]
[21231.65625],[20837.932]
[21502.33789062],[20945.043]
[21027.29492188],[21120.486]
[20735.47851562],[21255.92]
[20280.63476562],[21447.469]
[20104.0234375],[21312.371]
[19784.7265625],[21072.467]
[19269.3671875],[20722.965]
[19242.25585938],[20384.385]
[19297.07617188],[20065.648]
[20231.26171875],[19834.666]
[20190.11523438],[19769.209]
[20548.24609375],[19852.133]
[21637.58789062],[20114.537]
[21731.1171875],[20545.18]
[21592.20703125],[21050.352]
[20860.44921875],[21386.406]
[19970.55664062],[21618.371]
[19323.9140625],[21572.23]
[20212.07421875],[21120.652]
[20569.91992188],[20688.393]
[20836.328125],[20401.896]
[21190.31640625],[20384.207]
[20779.34375],[20642.828]
[22485.68945312],[20995.76]
[23389.43359375],[21346.89]
[23231.73242188],[21850.404]
[23164.62890625],[22396.143]
[22714.97851562],[22882.826]
[22465.47851562],[23341.338]
[22609.1640625],[23350.771]
[21361.70117188],[23162.084]
[21239.75390625],[22854.705]
[22930.54882812],[22464.71]
[23843.88671875],[22339.502]
[23804.6328125],[22512.8]
[23656.20703125],[22810.205]
[23336.89648438],[23369.738]
[23314.19921875],[23857.168]
[22978.1171875],[23934.031]
[22846.5078125],[23767.895]
[22630.95703125],[23570.307]
[23289.31445312],[23365.363]
[22961.27929688],[23290.654]
[23175.890625],[23234.14]
[23809.48632812],[23272.602]
[23164.31835938],[23428.143]
[23947.64257812],[23587.91]
[23957.52929688],[23687.04]
[24402.81835938],[23888.924]
[24424.06835938],[24113.588]
[24319.33398438],[24259.059]
[24136.97265625],[24519.701]
[23883.29101562],[24585.309]
[23335.99804688],[24590.242]
[23212.73828125],[24405.26]
[20877.55273438],[24153.78]
[21166.06054688],[23605.611]
[21534.12109375],[22952.766]
[21398.90820312],[22361.574]
[21528.08789062],[21915.828]
[21395.01953125],[21572.463]
[21600.90429688],[21696.436]
[20260.01953125],[21768.695]
[20041.73828125],[21612.7]
[19616.81445312],[21356.74]
[20297.99414062],[20960.906]
[19796.80859375],[20638.445]
[20049.76367188],[20284.213]
[20127.140625],[20229.348]
[19969.77148438],[20242.445]
[19832.08789062],[20321.912]
[19986.71289062],[20247.234]
[19812.37109375],[20271.969]
[18837.66796875],[20226.607]
[19290.32421875],[20041.512]
[19329.83398438],[19866.088]
[21381.15234375],[19724.88]
[21680.5390625],[19834.848]
[21769.25585938],[20204.3]
[22370.44921875],[20863.133]
[20296.70703125],[21515.115]
[20241.08984375],[21893.4]
[19701.2109375],[21687.791]
[19772.58398438],[21278.436]
[20127.57617188],[20805.416]
[19419.50585938],[20292.414]
[19544.12890625],[20154.8]
[18890.7890625],[20011.918]
[18547.40039062],[19885.738]
[19413.55078125],[19647.887]
[19297.63867188],[19415.49]
[18937.01171875],[19371.545]
[18802.09765625],[19291.982]
[19222.671875],[19304.541]
[19110.546875],[19397.61]
[19426.72070312],[19328.896]
[19573.05078125],[19339.066]
[19431.7890625],[19465.688]
[19312.09570312],[19614.05]
[19044.10742188],[19654.287]
[19623.58007812],[19663.002]
[20336.84375],[19648.934]
[20160.71679688],[19736.64]
[19955.44335938],[19910.393]
[19546.84960938],[20098.28]
[19416.56835938],[20250.408]
[19446.42578125],[20210.432]
[19141.484375],[20004.83]
[19051.41796875],[19802.072]
[19157.4453125],[19618.559]
[19382.90429688],[19522.945]
[19185.65625],[19486.75]
[19067.63476562],[19448.994]
[19268.09375],[19453.982]
[19550.7578125],[19482.4]
[19334.41601562],[19532.488]
[19139.53515625],[19542.123]
[19053.74023438],[19562.797]
[19172.46875],[19568.266]
[19208.18945312],[19529.018]
[19567.0078125],[19446.115]
[19345.57226562],[19465.498]
[20095.85742188],[19530.95]
[20770.44140625],[19696.986]
[20285.8359375],[19972.725]
[20595.3515625],[20249.914]
[20818.4765625],[20476.998]
[20635.60351562],[20765.316]
[20495.7734375],[20889.145]
[20485.2734375],[20860.104]
[20159.50390625],[20901.906]
[20209.98828125],[20829.863]
[21147.23046875],[20696.926]
[21282.69140625],[20715.316]
[20926.48632812],[20856.7]
[20602.81640625],[21005.533]
[18541.27148438],[21154.783]
[15880.78027344],[20971.867]
[17586.77148438],[20089.488]
[17034.29296875],[19124.52]
[16799.18554688],[18230.186]
[16353.36523438],[17442.387]
[16618.19921875],[17053.799]
[16884.61328125],[17166.35]
[16669.43945312],[16979.955]
[16687.51757812],[16917.43]
[16697.77734375],[16908.24]
[16711.546875],[16980.197]
[16291.83203125],[16993.523]
[15787.28417969],[16905.416]
[16189.76953125],[16766.574]
[16610.70703125],[16620.146]
[16604.46484375],[16540.838]
[16521.84179688],[16514.635]
[16464.28125],[16591.182]
[16444.62695312],[16747.637]
[16217.32226562],[16800.445]
[16444.98242188],[16734.502]
[17168.56640625],[16682.064]
