targets,preds
13347.863999999998,13365.78735559082
13340.396,13338.282396968603
13351.35,13343.251533659457
13355.35,13350.191667348743
13358.106000000002,13347.902489716529
13383.698,13361.225217261312
13392.116000000002,13366.061837650777
13416.586,13368.348340845108
13420.231999999998,13400.850105339288
13410.898,13425.235649703027
13411.006,13421.100395273925
13400.12,13415.742080117705
13408.708000000002,13404.12121883595
13412.342,13401.908503752229
13428.188,13414.9826877563
13422.284,13432.201783322811
13430.874,13420.924782257081
13429.958,13431.45863287783
13430.808,13426.666327943087
13447.713999999998,13439.907198745252
13455.672,13446.161709404469
13445.234,13458.51833270502
13430.52014938,13447.869716711999
13445.478,13436.03391558838
13437.568,13445.049660377977
13432.956,13441.725664659978
13386.456,13433.64497778833
13342.02,13387.67144185214
13342.332,13350.189200018047
13355.948,13348.925404991149
13356.094,13357.968771657945
13397.674,13370.041704992294
13400.491999999998,13381.216102724076
13397.784,13399.581533892631
13405.62,13409.576491936206
13403.042,13406.602424039125
13395.826,13408.689386292697
13367.088,13402.367421715735
13376.396,13375.79297504139
13379.473999999998,13374.895420889856
13400.972,13377.913916588068
13416.162,13390.431648490428
13435.674,13405.45743053627
13458.514,13464.001216484547
13470.785999999998,13478.496941981552
13492.128,13475.21036825037
13498.921999999997,13488.730051169872
13508.596,13503.585864909412
13510.872,13509.964858767748
13538.74,13515.775292690276
13583.096,13535.631651397705
13608.112,13582.56322733998
13642.844,13602.550268100738
13665.815591374,13656.045364605903
13680.492000000002,13698.770575358867
13690.176,13683.383085862159
13642.814894831998,13689.732043178557
13604.41,13642.933449455737
13660.985591374,13613.377558131422
13634.676,13638.102346280339
13648.184,13675.350946929932
13650.922,13674.982476843803
13629.906,13651.522478077412
13632.098000000002,13648.752176275522
13678.986,13626.262220227003
13697.302,13667.626534303665
13706.404,13691.684656352281
13682.490000000002,13704.219999500514
13693.908,13696.538633546354
13715.128,13684.469916988135
13698.09,13703.434968224525
13709.946000000002,13734.20042878151
13688.424,13707.050801317693
13668.076,13701.787792918682
13677.286000000002,13675.582147040845
13683.268,13672.633288462759
13650.509999999998,13682.740561253073
13637.108000000002,13661.763859090806
13647.078,13643.264081106185
13675.002,13642.32813208163
13673.76,13658.040283686638
13684.184,13665.108217631578
13687.946000000002,13677.749748905184
13675.514,13689.634990790604
13671.306,13684.680421839952
13681.74,13675.417749881744
13681.882,13678.231452519416
13681.346,13680.977695676685
13636.498,13673.446845145225
13656.066,13654.753477890372
13637.766,13676.334081970454
13633.574,13635.065562644959
13608.992000000002,13630.818553759455
13560.626,13602.871708322167
13501.935999999998,13568.34825180173
13492.734,13507.460640318632
13531.28,13501.829717514276
13540.764,13522.188238761904
13544.84,13537.93606782818
13566.253999999995,13536.98730532646
13597.04,13554.656463599682
13619.638,13593.947158603669
13609.656,13609.03272013235
13611.603999999998,13618.33335401535
13592.04,13616.683880438084
13577.77,13599.988405237198
13566.945992966,13593.491748994828
13563.298,13575.786020203115
13554.852309632,13563.203391709087
13552.141999999998,13549.706488995553
13537.712,13549.959278109074
13539.209999999995,13538.964173324732
13542.23,13523.864938725354
13579.864,13544.918783762934
13600.282,13574.383155971764
13592.234,13598.372304862976
13605.294,13596.302008033987
13589.372,13607.03200939536
13588.64,13599.205971286774
13586.596,13600.714881747961
13606.652000000002,13587.312276303412
13613.45,13603.799439946531
13609.086,13608.18482055807
13616.472,13614.093364887238
13631.828,13617.095600085735
13624.99,13630.204010898591
13624.598000000002,13625.41851655841
13623.414,13628.19866352725
13643.138,13638.589858823776
13650.633999999998,13639.40393895626
13668.352,13654.610998219252
13681.795999999998,13685.311422040702
13689.89,13687.347484427692
13698.596,13692.167116409779
13707.456,13708.16005945277
13715.633999999998,13701.924044921876
13768.044,13719.157252423762
13753.72,13815.84809578657
13751.928,13759.41381516409
13751.84,13756.72932737732
13752.588,13751.544185520886
13744.985,13756.632188894748
13735.484000000002,13743.288228304385
13735.863999999998,13741.062338047028
13727.916,13738.981781206132
13707.19,13725.743051206828
13669.548,13698.73421660483
13681.372,13676.561439846757
13624.466,13672.478597387311
13602.864,13636.12744383359
13555.203999999998,13613.939496588708
13500.838,13558.284021200896
13462.332,13498.803833543778
13499.406,13467.704231942535
13526.190000000002,13482.769210990906
13506.942,13516.692914569614
13481.048,13507.011755475043
13479.588,13492.844728490352
13487.435999999998,13485.00719447887
13456.97,13491.008814216259
13440.54,13456.55870373416
13413.924,13435.349466831209
13403.188,13418.273817800045
13444.322,13411.488652490614
13467.656,13427.108696662783
13440.64,13454.25675287962
13453.883999999998,13488.621092987538
13462.476,13445.403064781665
13483.864767958,13469.003396341324
13484.198,13482.906356715202
13483.78,13483.678014297484
13480.198,13490.55712998104
13475.570000000003,13478.312681505204
13480.352000000004,13479.153472873657
13479.6,13478.907105763794
13485.738,13477.067531700135
13490.724000000002,13484.165596156836
13501.636000000002,13499.3336693728
13518.218,13516.576614952091
13559.556,13527.225110721589
13578.256,13560.849466745853
13593.232,13569.993145245555
13641.094,13585.746318909647
13613.234,13628.434737019063
13623.062,13631.853842647077
13605.082,13623.897193918228
13580.072,13601.160810617446
13571.342,13602.54297753501
13542.415488796,13583.046228814603
13526.344,13556.336083146452
13549.408,13529.884013698698
13545.636000000002,13535.245469343186
13558.97,13543.029974333764
13579.476,13550.468024861353
13559.81,13566.766906605719
13570.218,13567.391807167052
13605.075999999995,13574.254491509917
13601.466,13598.24743089199
13609.298,13611.358259824277
13576.016,13613.725250627995
13592.082,13592.789712941409
13590.126,13594.906991444583
13600.347999999998,13588.989975355984
13612.222,13593.725016794444
13630.664,13602.216070741653
13666.094,13629.770234725
13667.066,13666.044065844297
13696.206,13672.916842945097
13730.844,13692.589627023935
13717.788,13727.431775200845
13703.928,13724.921716629504
13697.646,13711.769120816709
13711.828,13706.498635276794
13700.964000000002,13712.09476859021
13678.616000000002,13808.29790703392
13664.202,13675.34346247244
13660.726,13668.171579557062
13684.986,13664.665541903973
13714.3,13688.996124792338
13705.670000000002,13704.01124621773
13697.034,13711.642078145027
13710.632,13703.426516753912
13706.31,13715.158326096298
13706.096,13712.512267512082
13702.52,13703.171853772405
13714.064000000002,13705.761389184236
13728.752000000002,13713.923751485825
13731.306,13717.456598675251
13737.59,13743.747452568054
13752.125999999998,13736.915928816796
13764.868,13750.888857187274
13770.891999999998,13790.9295085907
13782.818,13774.511955251455
13756.062,13787.824862953425
13736.896000000002,13766.518127293824
13720.204000000002,13748.404848945142
13707.408,13730.501624532697
13721.786000000002,13713.242652145027
13717.94,13708.386629959345
13682.29,13706.895797973635
13669.7,13685.51998019314
13691.266,13671.826553209305
13697.784,13685.090898102524
13695.236,13692.703959636689
13697.802,13699.125760757925
13642.356000000002,13696.907054042817
13650.719999999998,13663.781812658428
13678.0,13643.930039341449
13667.476220338,13672.471850910426
13666.222,13682.90827126193
13727.819999999998,13660.77379729128
13753.928,13718.490228996274
13761.320000000003,13734.684254646301
13762.684,13694.056459521735
13754.094,13769.72130330038
13764.562,13765.632591662405
13767.246,13764.144322585105
13759.976,13766.430086417202
13758.748,13764.083465734004
13756.809999999998,13757.76018087101
13757.51,13759.42937848091
13771.670000000002,13754.644992206097
13782.37,13764.524598938942
13775.076,13779.95048501253
13779.904,13790.466479314564
13781.056,13785.82007690668
13782.070000000003,13786.89030264974
13782.422,13789.403625360728
13726.76,13773.407609104155
13725.196000000002,13725.355107963562
13692.662,13791.027977462769
13714.132,13696.653810774687
13706.866000000002,13707.085032629848
13695.328,13700.815554890632
13707.37,13691.890105890276
13730.912,13702.545531142474
13739.484,13727.87456534481
13742.63,13736.678070151569
13726.592,13742.729208061217
13726.38,13735.081783388854
13717.741999999998,13729.327527008058
13716.988,13721.924351490497
13718.662,13718.005476893186
13738.664,13718.227861991883
13739.966960918004,13732.471989605427
13752.256157834,13737.299976045608
13752.172536244,13751.799610881328
13759.228,13751.35675587654
13769.624,13757.215092997552
13762.478,13762.680159799993
13775.104,13757.746497336404
13770.362,13773.041929161916
13781.156,13778.398982463836
13797.670000000002,13774.164297983169
13792.064000000002,13793.26086346364
13803.044,13800.801541534423
13804.084,13796.142622388124
13805.35,13815.110254652023
13809.336,13819.567361363175
13809.788,13805.079029266359
13798.06,13808.253498084068
13791.352,13796.446063421488
13758.4,13792.610435301065
13750.795999999998,13774.687581637858
13736.514,13761.281919071436
13734.0,13742.150490528345
13722.766,13731.645594013691
13704.238,13718.798263072968
13707.690000000002,13706.072269594906
13714.708000000002,13709.772478417754
